BL;Y_2022;Y_2025;Y_2030;Y_2035;Y_2040;Y_2045
1;2712;3806;6269;8193;9639;10363
2;9;12;17;22;24;24
3;2855;4586;8152;11203;13567;15305
4;5;7;11;15;17;17
5;1370;2531;4967;6978;8528;9514
6;1697;2320;3654;4734;5569;6056
7;2787;3524;5118;6372;7343;7856
8;3032;4802;8391;11281;13542;14795
9;21842;27291;40166;49417;56630;59140
10;823;841;891;929;956;967
11;28;28;29;34;35;37
12;9125;11138;16743;21418;24780;26862
13;5719;7758;12373;15904;18572;19736
14;3966;4997;7320;9157;10547;11295
15;6493;7882;11008;13487;15355;16364
16;3543;4927;7954;10597;12586;14116
